Time,Sensor 0(F),Sensor 1(F),Sensor 2(F),Sensor 3(F),Ambient
1636125827,66.02,65.84,,64.58,50.0
1636125830,66.02,65.84,,64.58,50.0
1636125834,65.84,65.84,,64.58,50.0
1636125838,66.20,66.02,,64.76,50.0
1636125842,66.02,65.84,,64.76,50.0
1636125846,66.02,66.02,,64.58,50.0
1636125850,66.20,65.84,,64.76,50.0
1636125855,66.02,65.84,,64.76,50.0
1636125859,66.02,66.02,,64.76,50.0
1636125863,66.02,66.02,,64.58,50.0
1636125867,66.02,65.84,,64.58,50.0
1636125871,66.02,65.84,,64.58,50.0
1636125875,66.02,65.84,,64.58,50.0
1636125879,66.20,66.02,,64.58,50.0
1636125882,66.02,65.84,,64.76,50.0
1636125886,66.02,66.02,,64.58,50.0
1636125890,66.20,65.84,,64.76,50.0
1636125894,66.20,65.84,,64.76,50.0
1636125899,66.20,65.84,,64.58,50.0
1636125903,66.20,65.84,,64.58,50.0
1636125906,66.20,65.84,,64.58,50.0
1636125910,66.02,65.84,,64.58,50.0
1636125913,66.02,66.02,,64.58,50.0
1636125917,66.20,66.02,,64.58,50.0
1636125920,66.02,65.84,,64.58,50.0
1636125924,66.02,65.84,,64.58,50.0
1636125928,66.02,65.84,,64.76,50.0
1636125931,66.02,66.02,,64.76,50.0
1636125934,66.20,66.02,,64.58,50.0
1636125938,66.02,66.02,,64.58,50.0
1636125942,66.02,66.02,,64.58,50.0
1636125945,66.20,66.02,,64.76,50.0
1636125949,66.02,66.02,,64.76,50.0
1636125953,66.20,66.02,,64.76,50.0
1636125957,66.20,66.02,,64.76,50.0
1636125961,66.20,66.02,,64.76,50.0
1636125964,66.02,66.02,,64.76,50.0
1636125968,66.20,66.02,,64.76,50.0
1636125972,66.02,66.02,,64.58,50.0
1636125975,66.02,66.02,,64.58,50.0
1636125979,66.20,66.02,,64.76,50.0
1636125983,66.20,66.02,,64.76,50.0
1636125986,66.20,66.02,,64.76,50.0
1636125990,66.20,66.02,,64.76,50.0
1636125993,66.20,66.02,,64.76,50.0
1636125997,66.20,66.02,,64.76,50.0
1636126000,66.02,66.02,,64.58,50.0
1636126004,66.02,66.02,,64.76,50.0
1636126007,66.20,66.02,,64.58,50.0
1636126011,66.20,66.02,,64.58,50.0
1636126014,66.20,66.02,,64.58,50.0
1636126018,66.20,66.02,,64.76,50.0
1636126022,66.20,66.02,,64.76,50.0
1636126025,66.20,66.02,,64.58,50.0
1636126029,66.20,66.02,,64.58,50.0
