Date,Time,odo mi,Duration,dist mi,elv ft,Energy,Gids,SGids,EGids,AHr,SOH,Hx,SHVolt,EHVolt,Drive,Regen,Charge,L1/L2,QC
07/11/2021,9:44:57,0.0,00:00:39,0.0,0,-121,-2,137,139,52.706,80.59%,72.68,0.00,386.28,0,0,-121,3136,0
07/12/2021,9:33:40,68753.5,00:06:18,1.9,3,703,10,170,160,52.189,79.80%,71.04,383.27,381.82,703,-76,0,3137,0
07/27/2021,8:25:20,68893.9,00:04:08,1.2,-62,173,2,114,112,51.306,78.45%,68.48,373.45,376.92,173,-132,0,3144,0
07/27/2021,8:35:03,68895.1,00:12:15,3.7,115,850,13,111,98,51.254,78.37%,68.42,377.50,374.54,850,-334,0,3144,0
07/28/2021,8:14:26,68898.9,00:13:15,3.7,3,750,10,98,88,51.234,78.34%,68.33,375.06,372.38,750,-311,0,3144,0
07/28/2021,8:34:42,68902.6,00:12:02,3.1,148,1121,17,87,70,51.202,78.29%,68.25,372.46,370.56,1121,-318,0,3144,0
07/29/2021,8:18:16,68905.7,00:10:59,3.1,-187,752,10,176,166,51.175,78.25%,68.16,384.28,383.18,752,-370,0,3145,0
07/29/2021,8:35:27,68908.8,00:11:26,3.1,213,1096,15,164,149,51.143,78.20%,68.12,383.46,381.97,1096,-227,0,3145,0
11/05/2021,8:24:25,70022.3,00:11:07,3.1,0,974,14,86,72,51.019,78.01%,67.94,373.35,370.26,974,-300,0,3217,0
01/13/2022,8:08:35,70841.9,00:03:20,1.2,-66,222,3,103,100,50.378,77.03%,65.87,377.20,375.32,222,-93,0,3279,0
01/27/2022,8:02:40,70986.7,00:09:12,1.2,26,615,9,153,144,50.051,76.53%,64.96,382.53,382.30,615,-167,0,3290,0
